epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,417.627,1.34828,4.42344,0.02151,0.43227,0.16718,0.15194,0.11717,0.98997,3.06552,0.01778,9.79388e-05,9.79388e-05,9.79388e-05
2,752.438,1.33368,3.20507,0.0208,0.41665,0.3223,0.29852,0.22423,1.02879,2.28865,0.01823,0.000191089,0.000191089,0.000191089
3,1068.49,1.3015,2.69068,0.01997,0.49886,0.39643,0.38981,0.28315,1.0876,1.99595,0.01972,0.000279389,0.000279389,0.000279389
4,1369.37,1.28677,2.36172,0.01945,0.51643,0.47008,0.47022,0.33597,1.09847,1.73664,0.01982,0.000272171,0.000272171,0.000272171
5,1666.66,1.26437,2.12662,0.01896,0.5736,0.49279,0.52346,0.37275,1.10953,1.64706,0.02018,0.000264894,0.000264894,0.000264894
6,1939.43,1.24995,1.96893,0.01862,0.59151,0.50736,0.5567,0.39983,1.07236,1.55235,0.01894,0.000257617,0.000257617,0.000257617
7,2195.95,1.241,1.84387,0.01833,0.62351,0.52507,0.57943,0.40938,1.10461,1.55009,0.01955,0.000250341,0.000250341,0.000250341
8,2453.27,1.23096,1.74668,0.01818,0.62733,0.56171,0.60307,0.43238,1.09445,1.4941,0.01927,0.000243064,0.000243064,0.000243064
9,2715.64,1.22406,1.6726,0.01798,0.64405,0.5663,0.61597,0.42856,1.14815,1.48228,0.02036,0.000235788,0.000235788,0.000235788
10,2985.68,1.20996,1.62323,0.01759,0.69688,0.55589,0.63061,0.4447,1.11584,1.44025,0.01981,0.000228511,0.000228511,0.000228511
11,3290.22,1.20303,1.55951,0.01748,0.69001,0.58227,0.64139,0.44965,1.11214,1.41316,0.01943,0.000221235,0.000221235,0.000221235
12,3593.24,1.20253,1.51888,0.01751,0.67548,0.58346,0.63994,0.45124,1.12287,1.43322,0.01995,0.000213958,0.000213958,0.000213958
13,3898.57,1.18138,1.47818,0.01727,0.69472,0.59175,0.65698,0.46675,1.09806,1.38442,0.01917,0.000206682,0.000206682,0.000206682
14,4200.98,1.18385,1.45679,0.01717,0.69521,0.60399,0.66208,0.46541,1.13492,1.39685,0.01984,0.000199406,0.000199406,0.000199406
15,4457.92,1.17188,1.43042,0.01701,0.70506,0.60528,0.66826,0.4675,1.13987,1.35473,0.02008,0.000192129,0.000192129,0.000192129
16,4678.53,1.16158,1.39814,0.01693,0.713,0.59787,0.66771,0.47292,1.12568,1.3838,0.01986,0.000184853,0.000184853,0.000184853
17,4943.81,1.16049,1.37726,0.01681,0.73268,0.61849,0.69426,0.49483,1.09597,1.28001,0.01885,0.000177576,0.000177576,0.000177576
18,5203.1,1.16217,1.35643,0.01665,0.7164,0.6184,0.68114,0.48629,1.10151,1.30592,0.01897,0.000170299,0.000170299,0.000170299
19,5437.61,1.15261,1.34699,0.01659,0.71655,0.63429,0.69178,0.50258,1.07763,1.26597,0.01851,0.000163023,0.000163023,0.000163023
20,5671.84,1.13832,1.32199,0.01649,0.69874,0.62626,0.68689,0.48884,1.10304,1.29165,0.01922,0.000155747,0.000155747,0.000155747
