epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.69,1.33756,3.48648,0.03311,0.56457,0.39493,0.41097,0.21626,1.75826,2.05115,0.03462,0.00333229,0.00333229,0.0700094
2,913.669,1.26836,1.76013,0.03099,0.64188,0.5247,0.59425,0.322,1.68898,1.59245,0.03265,0.00600573,0.00600573,0.0393495
3,1315.62,1.2874,1.36994,0.03148,0.6519,0.59261,0.64237,0.34592,1.63434,1.42679,0.03092,0.00801916,0.00801916,0.00802958
4,1725.55,1.26399,1.18811,0.03063,0.6864,0.6093,0.68398,0.37197,1.66092,1.33695,0.03211,0.00703,0.00703,0.00703
5,2125.82,1.18287,0.99144,0.0281,0.72251,0.65725,0.7149,0.41521,1.58936,1.25668,0.03049,0.00604,0.00604,0.00604
6,2547.64,1.13372,0.85521,0.02652,0.73553,0.65366,0.72866,0.43887,1.51454,1.26343,0.02814,0.00505,0.00505,0.00505
7,2974.96,1.07739,0.75943,0.0247,0.76479,0.65461,0.7289,0.4616,1.39,1.21907,0.02483,0.00406,0.00406,0.00406
8,3388.97,1.01329,0.67458,0.02299,0.79612,0.67879,0.75945,0.48839,1.33482,1.1225,0.02411,0.00307,0.00307,0.00307
9,3812.32,0.96977,0.61139,0.02165,0.77687,0.69003,0.77283,0.50935,1.28247,1.11239,0.02271,0.00208,0.00208,0.00208
10,4235.63,0.92467,0.56435,0.0204,0.79037,0.6912,0.77873,0.51903,1.26921,1.09505,0.0227,0.00109,0.00109,0.00109
