epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.429,1.54477,3.70358,0.02566,0.57476,0.13259,0.12344,0.05813,1.99568,3.42731,0.0443,0.00066625,0.00066625,0.0673537
2,603.897,1.48005,2.73078,0.02454,0.31888,0.19072,0.17614,0.10081,1.6793,3.36112,0.0354,0.00131972,0.00131972,0.0346739
3,868.204,1.42873,2.41312,0.02348,0.36633,0.33614,0.29221,0.16782,1.62682,2.47578,0.03347,0.00195999,0.00195999,0.00198081
4,1131.8,1.40678,2.22977,0.02287,0.42213,0.33306,0.32274,0.16473,1.77418,2.52541,0.03779,0.0019406,0.0019406,0.0019406
5,1392.56,1.37694,2.08701,0.02224,0.48236,0.37105,0.38127,0.21566,1.65881,2.18734,0.03466,0.0019208,0.0019208,0.0019208
6,1655.01,1.34617,1.97538,0.0216,0.49655,0.39853,0.41932,0.25733,1.51792,2.12288,0.02984,0.001901,0.001901,0.001901
7,1916.41,1.33181,1.89036,0.02114,0.51083,0.42997,0.4421,0.2562,1.58992,2.02949,0.03296,0.0018812,0.0018812,0.0018812
8,2178.01,1.30226,1.81334,0.02061,0.55932,0.40709,0.42274,0.24408,1.60365,2.23282,0.03311,0.0018614,0.0018614,0.0018614
9,2440.14,1.29856,1.77646,0.02043,0.56217,0.40774,0.4363,0.22829,1.77747,2.13587,0.03774,0.0018416,0.0018416,0.0018416
10,2701.6,1.28776,1.71444,0.02012,0.54555,0.39963,0.42924,0.23828,1.6686,2.1783,0.03501,0.0018218,0.0018218,0.0018218
11,2965.27,1.27652,1.66363,0.01989,0.56896,0.48829,0.51564,0.31011,1.52134,1.7616,0.03003,0.001802,0.001802,0.001802
12,3229.17,1.26841,1.61564,0.01978,0.62013,0.46616,0.51651,0.31206,1.53823,1.95406,0.03061,0.0017822,0.0017822,0.0017822
13,3493.06,1.24766,1.58163,0.0195,0.61486,0.51157,0.55948,0.33245,1.53948,1.72267,0.03,0.0017624,0.0017624,0.0017624
14,3756.38,1.24438,1.54056,0.01925,0.64565,0.50338,0.56005,0.33074,1.53466,1.7623,0.03071,0.0017426,0.0017426,0.0017426
15,4019.59,1.23818,1.52126,0.01923,0.63848,0.49072,0.54992,0.32969,1.52116,1.7563,0.02988,0.0017228,0.0017228,0.0017228
16,4282,1.22244,1.47769,0.019,0.64997,0.50161,0.55814,0.34198,1.50562,1.71603,0.02973,0.001703,0.001703,0.001703
17,4543.88,1.22071,1.44478,0.01892,0.64421,0.54251,0.58988,0.34979,1.549,1.64349,0.03053,0.0016832,0.0016832,0.0016832
18,4805.67,1.21989,1.42081,0.01869,0.67727,0.55944,0.61669,0.3741,1.48318,1.56821,0.02879,0.0016634,0.0016634,0.0016634
19,5065.51,1.2102,1.39394,0.01863,0.67264,0.561,0.61362,0.37433,1.48869,1.5682,0.02936,0.0016436,0.0016436,0.0016436
20,5326.19,1.19334,1.37795,0.01841,0.64479,0.53901,0.5897,0.37013,1.44613,1.61215,0.02827,0.0016238,0.0016238,0.0016238
21,5586.73,1.18895,1.35559,0.01822,0.64572,0.57562,0.61261,0.37767,1.47568,1.5264,0.02851,0.001604,0.001604,0.001604
22,5847.97,1.19505,1.3494,0.01815,0.68383,0.55534,0.60579,0.38268,1.43214,1.60435,0.02772,0.0015842,0.0015842,0.0015842
23,6110.65,1.17585,1.31665,0.01803,0.72154,0.56408,0.63475,0.39774,1.42973,1.54962,0.02756,0.0015644,0.0015644,0.0015644
24,6380.87,1.1754,1.30577,0.01787,0.66962,0.57974,0.62929,0.40715,1.37403,1.49988,0.02564,0.0015446,0.0015446,0.0015446
25,6644.74,1.159,1.27319,0.0177,0.6726,0.56471,0.61425,0.40533,1.3478,1.51392,0.02534,0.0015248,0.0015248,0.0015248
